ID;Polycolor;Language;Label;Definition;Description;Governance level ID;Governance level Label;Codelist ID;Codelist label;Reference Source;Reference Link;Status ID;Status label;Parent ID;Successor ID;Predecessor ID
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/santonian;#D9EF74;en;Santonian;IUGS /CGI value;"Santonian (older bound-85.8 +/-0.7 Ma; younger bound-83.5 +/-0.7 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/coniacian;#CCE968;en;Coniacian;IUGS /CGI value;"Coniacian (older bound-88.6 Ma; younger bound-85.8 +/-0.7 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/turonian;#BFE35D;en;Turonian;IUGS /CGI value;"Turonian (older bound-93.6 +/-0.8 Ma; younger bound-88.6 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cenomanian;#B3DE53;en;Cenomanian;IUGS /CGI value;"Cenomanian (older bound-99.6 +/-0.9 Ma; younger bound-93.6 +/-0.8 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/upperCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/earlyOrLowerCretaceous;#8CCD57;en;Early/Lower Cretaceous;IUGS /CGI value;"Early/Lower Cretaceous (older bound-145.5 +/-4 Ma; younger bound-99.6 +/-0.9 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/superseded;Superseded;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cretaceous;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerCretaceous;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/albian;#CCEA97;en;Albian;IUGS /CGI value;"Albian (older bound-112 +/-1 Ma; younger bound-99.6 +/-0.9 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/aptian;#BFE48A;en;Aptian;IUGS /CGI value;"Aptian (older bound-125 +/-1 Ma; younger bound-112 +/-1 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/barremian;#B3DF7F;en;Barremian;IUGS /CGI value;"Barremian (older bound-130 +/-1.5 Ma; younger bound-125 +/-1 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/hauterivian;#A6D975;en;Hauterivian;IUGS /CGI value;"Hauterivian (older bound-133.9 Ma; younger bound-130 +/-1.5 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerCretaceous;;
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/valanginian;#99D36A;en;Valanginian;IUGS /CGI value;"Valanginian (older bound-140.2 +/-3 Ma; younger bound-133.9 Ma)";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/GeochronologicEraValue;Geochronologic Era;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/lowerCretaceous;;
