Column1;Column17;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
http://inspire.ec.europa.eu/codelist/LithologyValue/claystone;#BF996B;en;claystone;;Mudstone that contains no detectable silt, inferred to consist virtually entirely of clay-size particles.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone;;
http://inspire.ec.europa.eu/codelist/LithologyValue/coal;#B3BFBF;en;coal;;A consolidated organic sedimentary material having less than 75% moisture. This category includes low, medium, and high rank coals according to International Classification of In-Seam Coal (United Nations, 1998), thus including lignite. Sapropelic coal is not distinguished in this category from humic coals. Formed from the compaction or induration of variously altered plant remains similar to those of peaty deposits.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/organicRichSedimentaryRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/cobbleGravelSizeSediment;;en;cobble gravel size sediment;;Sediment containing greater than 30 percent cobble-size particles (64-256 mm in diameter);http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/gravelSizeSediment;;
http://inspire.ec.europa.eu/codelist/LithologyValue/compositeGenesisMaterial;#A6D9CC;en;composite genesis material;;Material of unspecified consolidation state formed by geological modification of pre-existing materials outside the realm of igneous and sedimentary processes.;http://inspire.ec.europa.eu/registry/governance-level/eu-legal;Legal (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;CGI Controlled Vocabulary;http://resource.geosciml.org/classifier/cgi/lithology/composite_genesis_material;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/compoundMaterial;;
http://inspire.ec.europa.eu/codelist/LithologyValue/compositeGenesisRock;#FFEAD3;en;composite genesis rock;;Rock formed by geological modification of pre-existing rocks outside the realm of igneous and sedimentary processes.;http://inspire.ec.europa.eu/registry/governance-level/eu-legal;Legal (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;CGI Controlled Vocabulary;http://resource.geosciml.org/classifier/cgi/lithology/composite_genesis_rock;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/compositeGenesisMaterial;;
http://inspire.ec.europa.eu/codelist/LithologyValue/compoundMaterial;#FFEBE3;en;compound material;;An earth material composed of an aggregation of particles of earth material, possibly including other Compound Materials.;http://inspire.ec.europa.eu/registry/governance-level/eu-legal;Legal (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;CGI Controlled Vocabulary;http://resource.geosciml.org/classifier/cgi/lithology/compound_material;http://inspire.ec.europa.eu/registry/status/valid;Valid;;;
http://inspire.ec.europa.eu/codelist/LithologyValue/concrete;#C7C7BE;en;concrete;;Hardening composite construction material composed primarily of coarse gravel, cement and water;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;;;
http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate;#CCBFA6;en;conglomerate;;"Clastic sedimentary rock composed of at least 30 percent rounded to subangular fragments larger than 2 mm in diameter; typically contains finer grained material in interstices between larger fragments. If more than 15 percent of the fine grained matrix is of indeterminant clastic or diagenetic origin and the fabric is matrix supported, may also be categorized as wackestone. If rock has unsorted or poorly sorted texture with a wide range of particle sizes, may also be categorized as diamictite.";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/clasticSedimentaryRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/crystallineCarbonate;;en;crystalline carbonate;;Carbonate rock of indeterminate mineralogy in which diagenetic processes have obliterated any original depositional texture.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/dacite;#B373F2;en;dacite;;"Fine grained or porphyritic crystalline rock that contains less than 90 percent mafic minerals, between 20 and 60 percent quartz in the QAPF fraction, and has a plagioclase to total feldspar ratio greater than 0.65. Includes rocks defined modally in QAPF fields 4 and 5 or chemically in TAS Field O3. Typcially composed of quartz and sodic plagioclase with minor amounts of biotite and/or hornblende and/or pyroxene; fine-grained equivalent of granodiorite and tonalite.";http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/acidicIgneousRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/diamictite;#CCBF8C;en;diamictite;;Unsorted or poorly sorted, clastic sedimentary rock with a wide range of particle sizes including a muddy matrix. Biogenic materials that have such texture are excluded. Distinguished from conglomerate, sandstone, mudstone based on polymodality and lack of structures related to transport and deposition of sediment by moving air or water. If more than 10 percent of the fine grained matrix is of indeterminant clastic or diagenetic origin and the fabric is matrix supported, may also be categorized as wacke.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/clasticSedimentaryRock;;
http://inspire.ec.europa.eu/codelist/LithologyValue/diamicton;#F2F2BF;en;diamicton;;Unsorted or poorly sorted, clastic sediment with a wide range of particle sizes, including a muddy matrix. Biogenic materials that have such texture are excluded. Distinguished from conglomerate, sandstone, mudstone based on polymodality and lack of structures related to transport and deposition of sediment by moving air or water. Assignment to an other size class can be used in conjunction to indicate the dominant grain size.;http://inspire.ec.europa.eu/registry/governance-level/eu-technical;Technical (EU);http://inspire.ec.europa.eu/codelist/LithologyValue;Lithology;;;http://inspire.ec.europa.eu/registry/status/valid;Valid;http://inspire.ec.europa.eu/codelist/LithologyValue/clasticSediment;;
